"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,15275.793628,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,15568.963881337,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,15543.667841316,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,15571.083308422,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,16016.860652115,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,16503.758569102,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,17039.193726877,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,18020.934471189,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2019","2019","PKM","Passenger-kilometres","6","Millions",,,18841.831667914,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2020","2020","PKM","Passenger-kilometres","6","Millions",,,15053.004083646,,
"AUS","Australia","T-PASS-RL-TOT","Rail passenger transport","2021","2021","PKM","Passenger-kilometres","6","Millions",,,9327.6307951394,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,384287,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,385402,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,382239,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,385012,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,385163,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,391215,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,395908,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,405544,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,404585,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,393765,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,393466,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,395067,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,404396,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,414387,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,413970,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,427486,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,431799,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,437363,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,441614,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2019","2019","PKM","Passenger-kilometres","6","Millions",,,435063,,
"JPN","Japan","T-PASS-RL-TOT","Rail passenger transport","2020","2020","PKM","Passenger-kilometres","6","Millions",,,263211,,
"NLD","Netherlands","T-PASS-RD-TOT","Road passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,156553,"E","Estimated value"
"NLD","Netherlands","T-PASS-RD-TOT","Road passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,157083,"E","Estimated value"
"NLD","Netherlands","T-PASS-RD-TOT","Road passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,159627,"E","Estimated value"
"NLD","Netherlands","T-PASS-RD-TOT","Road passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,161700,"E","Estimated value"
"NLD","Netherlands","T-PASS-RD-TOT","Road passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,167449,"E","Estimated value"
"NLD","Netherlands","T-PASS-RD-TOT","Road passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,164834,"E","Estimated value"
"NLD","Netherlands","T-PASS-RD-TOT","Road passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,163630,"E","Estimated value"
"NLD","Netherlands","T-PASS-RD-TOT","Road passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,166605,"E","Estimated value"
"NLD","Netherlands","T-PASS-RD-TOT","Road passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,163236,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,4250,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,4458,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,4583,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,4711,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,4855,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,5145,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,5455,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,5730,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,5587,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,5647,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,5596,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,5392,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,5454,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,5611,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,5899,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,6296,"E","Estimated value"
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,7301,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,7984,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,8235,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2019","2019","PKM","Passenger-kilometres","6","Millions",,,8167,,
"ISL","Iceland","T-PASS-RD-TOT","Road passenger transport","2020","2020","PKM","Passenger-kilometres","6","Millions",,,6316,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,25977.28144892,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,25198.095303748,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,24409.622511445,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,25044.071809908,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,24776.56200888,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,25393.591629483,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,27296.432407703,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,30357.906712861,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,32143.406016433,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,30906.931637514,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,31871.671919151,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,32579.510200833,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,34125.70065511,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,36047.104941171,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,36393.106488533,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,36043.875681391,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,35892.157355569,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,33256,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,31963,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2019","2019","PKM","Passenger-kilometres","6","Millions",,,32483,,
"USA","United States","T-PASS-RL-TOT","Rail passenger transport","2020","2020","PKM","Passenger-kilometres","6","Millions",,,12460,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,80499,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,81109,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,82003,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,82774,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,83587,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,83937,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,84783,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,85757,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,87626.684209783,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,90239.259008148,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,92419.387321189,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,93400.149412342,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,94987.570779686,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,96362.440481672,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,97720.369848966,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,99158.08360765,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,101275.7072384,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,103104.041618,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,104331.24281709,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2019","2019","PKM","Passenger-kilometres","6","Millions",,,105566.43633,,
"CHE","Switzerland","T-PASS-RD-TOT","Road passenger transport","2020","2020","PKM","Passenger-kilometres","6","Millions",,,86344.5984735,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,3353,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,3272,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,2989,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,2896,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,2683.457775,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,2723.402598,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,2832.39148,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,2957.95521,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,3106.985939,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,3080.143787,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,3134.383471,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,3075.974123,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,3091.569419,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,3260,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,3440,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,3555,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,3695,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,3584,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,3722,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2019","2019","PKM","Passenger-kilometres","6","Millions",,,3715,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2020","2020","PKM","Passenger-kilometres","6","Millions",,,1804,,
"NOR","Norway","T-PASS-RL-TOT","Rail passenger transport","2021","2021","PKM","Passenger-kilometres","6","Millions",,,1780,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2000","2000","PKM","Passenger-kilometres","6","Millions",,,9693,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2001","2001","PKM","Passenger-kilometres","6","Millions",,,10005,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2002","2002","PKM","Passenger-kilometres","6","Millions",,,10531,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2003","2003","PKM","Passenger-kilometres","6","Millions",,,10286,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2004","2004","PKM","Passenger-kilometres","6","Millions",,,10544,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2005","2005","PKM","Passenger-kilometres","6","Millions",,,9880,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2006","2006","PKM","Passenger-kilometres","6","Millions",,,9584,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2007","2007","PKM","Passenger-kilometres","6","Millions",,,8752,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2008","2008","PKM","Passenger-kilometres","6","Millions",,,8293,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2009","2009","PKM","Passenger-kilometres","6","Millions",,,8073,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2010","2010","PKM","Passenger-kilometres","6","Millions",,,7692,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2011","2011","PKM","Passenger-kilometres","6","Millions",,,7806,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2012","2012","PKM","Passenger-kilometres","6","Millions",,,7806,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2013","2013","PKM","Passenger-kilometres","6","Millions",,,7843,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2014","2014","PKM","Passenger-kilometres","6","Millions",,,7738,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2015","2015","PKM","Passenger-kilometres","6","Millions",,,7609.161,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2016","2016","PKM","Passenger-kilometres","6","Millions",,,7653.455,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2017","2017","PKM","Passenger-kilometres","6","Millions",,,7730.982,,
"HUN","Hungary","T-PASS-RL-TOT","Rail passenger transport","2018","2018","PKM","Passenger-kilometres","6","Millions",,,7769.56,,
